avg_p_gmu,avg_p_std,rel_improvement,acc_gmu,acc_std,time_gmu,time_std,converged,final_objective,w_norm_gmu,b_gmu,category,experiment,d,n,sep,K,lambda,lr,epochs
0.0,7.142857142857143e-06,100.0,1.0,1.0,0.4347970485687256,0.0006215572357177734,True,0.0125608430984671,1.120483558802515,-0.4074826097501839,geometry,imbalanced_5vs30,2,35,,,,,
0.017275,0.0010624999999999999,-1525.8823529411764,1.0,1.0,0.23769330978393555,0.0,True,0.05422721946835734,1.0768493109393789,-0.1298284448215397,dimensionality,d=2,2,20,,,,,
0.07732,0.0394175,-96.1565294602651,0.95,1.0,0.2532017230987549,0.0010006427764892578,True,0.14226220991532046,1.0214193232499293,-0.022292850804713174,dimensionality,d=5,5,20,,,,,
0.024431249999999998,0.00574375,-325.3536452665941,1.0,1.0,0.2831089496612549,0.0010006427764892578,True,0.07186916241894001,1.1163476562571846,0.11143480071770272,dimensionality,d=10,10,24,,,,,
0.00020666666666666668,0.00037833333333333333,45.37444933920705,1.0,1.0,0.40088319778442383,0.0010585784912109375,True,0.01817890446412978,1.154977341031886,-0.0236175836270938,dimensionality,d=20,20,30,,,,,
0.001595,0.002171666666666667,26.554105909439755,1.0,1.0,0.4373917579650879,0.0,True,0.020868787678196235,1.17275083606289,-0.015139753321924214,dimensionality,d=50,50,30,,,,,
0.004926666666666668,0.006445,23.55831393845357,1.0,1.0,0.47355031967163086,0.0005767345428466797,True,0.030134168610071566,1.230272587390775,-0.01588185537904901,dimensionality,d=100,100,30,,,,,
0.0,0.0,0.0,1.0,1.0,0.0708916187286377,0.0010001659393310547,True,0.005453817250014888,0.9655720859156731,-0.03697075988270081,sample_size,n_per_class=3,2,6,,,,,
0.0,0.0,0.0,1.0,1.0,0.11522912979125977,0.0010027885437011719,True,0.006746232260191458,1.0316509744796898,-0.05293776903731673,sample_size,n_per_class=5,2,10,,,,,
0.017275,0.0010624999999999999,-1525.8823529411764,1.0,1.0,0.22261762619018555,0.0009207725524902344,True,0.05422721946835734,1.0768493109393789,-0.1298284448215397,sample_size,n_per_class=10,2,20,,,,,
0.012837000000000001,0.00015,-8458.000000000002,1.0,1.0,0.5584840774536133,0.0015065670013427734,True,0.03871241125221426,1.0204724061132733,-0.08410197190513953,sample_size,n_per_class=25,2,50,,,,,
0.007792,0.009293000000000001,16.15194232217799,1.0,1.0,1.1253855228424072,0.0,True,0.04891263564233009,1.069919727440724,-0.07340608866801286,sample_size,n_per_class=50,2,100,,,,,
0.006870499999999999,0.0046655,-47.261815453863434,1.0,1.0,2.2010185718536377,0.0,True,0.04417632194938803,1.0893280400046632,-0.09978975231729524,sample_size,n_per_class=100,2,200,,,,,
0.0,0.0,0.0,1.0,1.0,0.18199849128723145,0.0,True,0.007832862254494087,1.0253371695635767,0.02158159674103778,n_components,K=1,2,30,,1.0,,,
0.02783333333333333,0.03266666666666667,14.795918367346955,0.9666666666666667,0.9666666666666667,0.3360249996185303,0.0,True,0.06628852149569349,1.0667167447564811,0.005660243387063547,n_components,K=2,2,30,,2.0,,,
1.6666666666666667e-06,0.0,0.0,1.0,1.0,0.4915299415588379,0.0005586147308349609,True,0.01744436540003682,1.1164052705755114,0.07356908292744513,n_components,K=3,2,30,,3.0,,,
0.004266666666666667,0.010298333333333333,58.56934779090467,1.0,1.0,0.7966170310974121,0.0,True,0.028284744152650067,1.11454106130108,0.06434295247717127,n_components,K=5,2,30,,5.0,,,
0.003108333333333333,0.0007116666666666667,-336.768149882904,1.0,1.0,1.5746688842773438,0.0010004043579101562,True,0.03952731595582224,1.128788921561732,0.011329702861026551,n_components,K=10,2,30,,10.0,,,
0.0015650000000000002,0.0012400000000000002,-26.209677419354833,1.0,1.0,3.1106958389282227,0.0009999275207519531,True,0.028066325806359614,1.2077685021493105,-0.12321452527462584,n_components,K=20,2,30,,20.0,,,
0.0,0.0,0.0,1.0,1.0,0.028036117553710938,0.0,True,0.00716761219475191,1.1972979741694971,0.0,edge_case,single_point_per_class,2,2,,,,,
0.0,0.0,0.0,1.0,1.0,0.0240175724029541,0.0,True,0.0861868961038819,4.151792290177386,0.0,edge_case,single_point_per_class_10d,10,2,,,,,
0.0,0.0,0.0,1.0,1.0,0.0760343074798584,0.0009984970092773438,True,0.013690170866186077,1.65334831593963,-0.00019743841496410464,edge_case,high_d_low_n_50d_6pts,50,6,,,,,
0.016143333333333332,0.0007083333333333333,-2179.058823529412,1.0,1.0,0.33774423599243164,0.0005791187286376953,True,0.0368918393550108,1.0209727382119562,-0.09183522207147736,hyperparam,lambda=0.001,2,30,,,0.001,,
0.01616333333333333,0.0007083333333333333,-2181.882352941176,1.0,1.0,0.3401007652282715,0.0005085468292236328,True,0.0392041634798531,1.0138337355784484,-0.09078046681122291,hyperparam,lambda=0.005,2,30,,,0.005,,
